,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g)
0,-0.8946954699439774,0.7795589525627749,-1.4246076868633166,-0.5676205756944027
1,-0.8215515206427211,0.11940427618478947,-1.0678665530646367,-0.5055254207317759
2,-0.6752636220402084,0.42409104989770635,-0.42573251222701297,-1.188572125320671
4,-1.3335591657515167,1.0842457262756917,-0.5684289657464849,-0.9401915054701637
5,-0.8581234952933499,1.744400402653677,-0.7824736460256929,-0.6918108856196563
6,-0.9312674445946062,0.3225287919934013,-1.4246076868633166,-0.7228584631009698
7,-0.876409482618663,1.2365891131321503,-0.42573251222701297,0.5811397911141937
12,-0.5289757234376945,0.22096653408909628,-1.3532594601035808,-1.2506672802832979
13,-0.9861254065705481,2.049087176366592,-0.7111254192659568,-0.5055254207317759
14,-1.7175648995831139,1.9983060474144405,-0.21168783194780508,0.23961643881974606
15,-1.351845153076831,0.3225287919934013,-1.1392147798243728,-0.6297157306570296
16,-0.9678394192452338,0.9319023394192333,-0.42573251222701297,-0.9401915054701637
17,-0.27297190088329676,1.7951815316058286,-0.28303605870754106,0.36380674874499974
18,-1.7541368742337429,0.6272155657063164,-1.2105630065841086,-1.0954293928767307
19,0.36703765550269835,2.2014305632230506,-0.497080738986749,-0.008764181030761242
20,-1.132413305173062,0.5764344367541647,-1.9240452741814684,-1.0022866604327905
21,-1.1506992924983752,0.7795589525627749,-1.4959559136230527,-0.7539060405822832
22,-1.4798470643540307,1.0334645973235383,-0.8538218727854289,-0.5055254207317759
23,-1.0592693558718045,0.47487217884985977,-1.1392147798243728,-0.31923995584389536
24,-0.9495534319199206,0.017842018280484432,-1.4959559136230527,-0.5055254207317759
25,-1.5895629883059157,0.8811212104670798,-0.9965183263049008,-0.5055254207317759
26,-0.6204056600642652,0.7287778236106233,-1.2819112333438447,-0.81600119554491
27,-0.6386916473895796,0.37330992094555293,-0.9965183263049008,-1.2506672802832979
28,-1.1141273178477478,0.7287778236106233,-2.0667417277009403,-1.3127624352459246
29,-0.6386916473895796,0.8811212104670798,-1.4959559136230527,-0.31923995584389536
30,-0.8215515206427211,-0.23606362648027904,-1.6386523671425246,-1.188572125320671
31,-1.242129229124946,0.47487217884985977,-1.6386523671425246,-0.3813351108065222
32,-0.8215515206427211,0.3225287919934013,-0.9251700995451648,-1.1264769703580442
33,-0.5655476980883233,0.8811212104670798,-1.2105630065841086,-0.3813351108065222
34,-1.38841712772746,-0.0837202396238206,-0.42573251222701297,-1.0954293928767307
